hour	avg_price
0	90670.170000
1	91525.543333
2	90601.355000
8	89384.480000
10	89342.250000
12	89735.700000
14	89634.770000
15	90906.090000
16	90520.726667
17	91441.370000
18	90520.050000
20	90381.515000
22	90739.790000
23	78411.600000
